
Each sample represents 0.02 seconds.
Total run time: 1653.81999999879 seconds.

Total seconds: time spent in function and callees.
Self seconds: time spent in function alone.

   %       total       %       self
 total    seconds     self    seconds    name
  1.53     25.30      1.54     25.40     "regexpr"
  1.51     25.00      3.70     61.14     "clone.Object"
  1.50     24.74      1.54     25.54     "pmatch"
  1.48     24.46      9.38    155.14     "match"
  1.46     24.18     20.88    345.30     "$<-"
  1.29     21.36      1.29     21.36     "assign"
  1.08     17.88      8.09    133.80     "eval"
  1.08     17.80      4.15     68.58     ".deparseOpts"
  1.06     17.60      6.45    106.66     "=="
  1.03     16.98     18.86    311.96     "capture.output"
  1.01     16.64      9.57    158.20     "match.arg"
  0.85     14.10      1.11     18.40     "substr"
  0.84     13.88      0.85     14.08     "cbind"
  0.84     13.86      0.89     14.80     "print.default"
  0.78     12.90      1.65     27.22     "which"
  0.67     11.04     28.51    471.58     "hashCode"
  0.66     10.90      0.66     10.90     "sum"
  0.64     10.62      1.92     31.76     "rev"
  0.62     10.22      7.90    130.66     "getEventsAtSite.GeneralSubstitution"
  0.61     10.14      2.85     47.06     "mode"
  0.60      9.92      1.26     20.90     "seq"
  0.60      9.90      6.50    107.52     "sink"
  0.57      9.36     27.77    459.34     "getInternalAddress"
  0.56      9.20      0.61     10.08     "toupper"
  0.56      9.20      0.56      9.20     "gc"
  0.56      9.18      0.95     15.72     "strsplit"
  0.51      8.46     29.43    486.66     "equals"
  0.49      8.16      8.33    137.80     "is.factor"
  0.48      7.96      0.48      7.96     "list"
  0.48      7.94     43.48    719.16     "<Anonymous>"
  0.48      7.94      0.48      7.94     "attr"
  0.47      7.72      0.47      7.72     "any"
  0.45      7.44      1.10     18.18     "formals"
  0.44      7.30      0.44      7.30     "!"
  0.43      7.08      0.60      9.90     "close"
  0.42      6.96      0.66     10.84     "is.PSRoot"
  0.42      6.94      7.01    115.92     "textConnection"
  0.41      6.74      0.42      6.90     "ls"
  0.41      6.72     16.16    267.20     ".recalculateCumulativeRates.Sequence"
  0.40      6.56     21.77    360.00     "getName.environment"
  0.38      6.36      3.73     61.76     "switch"
  0.38      6.22      1.15     18.96     "unlist"
  0.37      6.20      0.62     10.32     "sys.function"
  0.37      6.20      0.49      8.10     "seq.default"
  0.37      6.16      0.37      6.16     "parent.frame"
  0.35      5.84      0.35      5.84     "-"
  0.33      5.38      2.58     42.64     "unique"
  0.31      5.16      0.31      5.16     "is.null"
  0.31      5.08     22.09    365.30     "getName"
  0.30      5.00      3.72     61.52     "%in%"
  0.30      4.94      4.06     67.08     "hexStringToDouble"
  0.30      4.90     27.21    449.98     "getInternalAddress.Object"
  0.29      4.80      0.68     11.26     "make.gap.in.to"
  0.28      4.60      0.61     10.12     "emmit.homologous"
  0.27      4.40      0.31      5.18     "substr<-"
  0.26      4.28      1.47     24.24     "is.Process"
  0.25      4.20      0.25      4.20     "^"
  0.25      4.18      0.25      4.18     "sys.parent"
  0.24      3.90      0.24      3.90     "environmentName"
